JMÉNO_ZVÍŘETE;TYP_ZVÍŘETE;GENDER
weak tahr;Dog;Z
linear angelfish;Tiger;M
native pinniped;Bear;M
serious lizard;Bear;Z
uninterested bass;Bear;Z
fluffy stork;Tiger;M
conservative pig;Lizard;Z
varying dormouse;Lion;M
legislative guppy;Fox;Z
deliberate krill;Bear;Z
slight reindeer;Bear;Z
missing catshark;Donkey;M
meaningful bear;Lizard;M
boring scallop;Horse;M
prickly quail;Lizard;Z
logical ferret;Bear;Z
long chicken;Dog;Z
willing aphid;Donkey;Z
delightful lemming;Fox;Z
interior flea;Donkey;M
direct bear;Tiger;M
warm clownfish;Horse;M
oral wolf;Bear;M
wicked butterfly;Tiger;M
miniature pelican;Donkey;M
brief ferret;Lion;M
blue raven;Donkey;M
nursing limpet;Donkey;M
fellow unicorn;Horse;M
famous pike;Donkey;Z
round tahr;Horse;Z
plain porcupine;Lion;M
peculiar cat;Bear;Z
significant pigeon;Dog;M
big crayfish;Parrot;Z
ugly bass;Horse;Z
orthodox bison;Fox;M
interior whale;Parrot;M
excess boar;Bear;M
clumsy flea;Lizard;M
ashamed otter;Horse;M
given gorilla;Cat;M
worried baboon;Cat;Z
economic shrimp;Bear;Z
faithful vulture;Cat;M
helpful termite;Donkey;M
soft trout;Donkey;M
fierce mite;Bear;M
quickest kingfisher;Bear;M
huge whale;Lizard;M
scattered bass;Parrot;Z
variable mockingbird;Fox;M
primitive marsupial;Bear;Z
square guan;Cat;Z
sophisticated dingo;Fox;M
primary eagle;Parrot;Z
possible marten;Horse;Z
initial perch;Lizard;M
aggregate moth;Lion;M
difficult fly;Donkey;M
clean cat;Lizard;M
exclusive horse;Donkey;Z
striped cat;Donkey;Z
still shrew;Lion;Z
very lungfish;Fox;Z
surviving possum;Horse;Z
smart chinchilla;Fox;Z
petite tern;Bear;M
valuable jay;Fox;Z
good tern;Horse;M
soft primate;Tiger;M
special limpet;Parrot;Z
empty mouse;Lion;M
dull raccoon;Dog;Z
reasonable mandrill;Bear;Z
long meadowlark;Dog;Z
liberal salamander;Lizard;M
flexible cattle;Bear;Z
frozen deer;Lizard;Z
important termite;Dog;Z
bare sloth;Parrot;Z
tough constrictor;Cat;Z
upset wolf;Lion;Z
opposite kangaroo;Dog;M
visual shrimp;Lion;M
quick wildcat;Lizard;M
prime galliform;Tiger;M
fun stingray;Lizard;Z
doubtful cat;Dog;M
linguistic moose;Lion;M
neutral salmon;Lion;M
concerned sheep;Cat;Z
terrible wildcat;Horse;M
grey wildebeest;Dog;Z
indirect magpie;Bear;Z
white reptile;Parrot;M
compatible swan;Cat;M
sour ladybug;Lizard;M
disabled gibbon;Dog;M
raspy bee;Fox;Z
bright scallop;Parrot;Z
wasteful mongoose;Tiger;M
wonderful bee;Tiger;M
multiple gazelle;Fox;M
balanced mite;Cat;Z
acute ape;Fox;Z
ratty loon;Bear;M
unlikely elephant;Tiger;Z
happy dormouse;Lizard;Z
funny squirrel;Lion;M
squealing coral;Cat;M
round boar;Parrot;M
ugly blackbird;Tiger;M
medical dog;Parrot;M
cheerful crow;Lion;M
official raven;Parrot;Z
firm whale;Lizard;M
quick lynx;Lizard;M
busy canidae;Parrot;Z
mighty wolf;Donkey;M
civilian kiwi;Lion;M
deafening lizard;Horse;Z
soft scallop;Lizard;Z
short lungfish;Lizard;M
protective horse;Bear;Z
electronic snake;Tiger;M
gentle skink;Cat;M
long mandrill;Fox;M
accurate catfish;Tiger;Z
defeated bee;Cat;M
wandering starfish;Dog;M
indirect llama;Lizard;M
asleep frog;Horse;Z
curved flyingfish;Donkey;Z
rapid canid;Parrot;Z
main chickadee;Tiger;M
aware shrew;Dog;Z
mean landfowl;Lion;M
helpless parrotfish;Donkey;M
other monkey;Cat;Z
awake junglefowl;Lizard;M
cool aphid;Tiger;Z
added capybara;Dog;Z
french toad;Cat;M
broken coyote;Lizard;M
slippery salamander;Dog;M
foreign vicuna;Bear;M
armed rooster;Bear;Z
light guan;Tiger;Z
static lynx;Lizard;M
strategic dog;Bear;M
horrible caribou;Lizard;Z
mighty beaver;Cat;Z
powerful shrimp;Tiger;Z
shy beetle;Fox;Z
physical galliform;Dog;M
muddy anglerfish;Tiger;M
diverse mouse;Cat;Z
reduced llama;Cat;Z
noisy raven;Parrot;M
mysterious puma;Lion;Z
compulsory angelfish;Donkey;Z
rear guanaco;Parrot;M
helpful dog;Lion;Z
plain damselfly;Tiger;Z
blind cat;Dog;M
grotesque parrot;Cat;Z
live guppy;Tiger;Z
cuddly ermine;Lizard;Z
mighty impala;Donkey;Z
contemporary alpaca;Lizard;M
genetic sole;Fox;Z
late wombat;Bear;Z
wandering hedgehog;Fox;M
flaky guppy;Fox;Z
passing meadowlark;Lion;M
sharp barracuda;Bear;M
easy monkey;Horse;M
elegant wildfowl;Cat;Z
professional frog;Horse;Z
dear butterfly;Fox;M
monetary sloth;Parrot;Z
spotty buzzard;Lion;M
joyous earwig;Parrot;M
shivering goose;Horse;M
supreme chickadee;Tiger;Z
zealous armadillo;Parrot;Z
chief panda;Lizard;Z
furious magpie;Horse;Z
wrong orangutan;Lion;Z
strong cicada;Dog;M
verbal alpaca;Tiger;Z
sophisticated wildfowl;Bear;Z
boiling gopher;Horse;M
hushed rook;Horse;M
cruel otter;Horse;Z
near lungfish;Horse;M
rude angelfish;Lion;Z
bloody asp;Tiger;M
defeated fish;Tiger;Z
wooden wasp;Tiger;M
tall reptile;Horse;Z
surprised armadillo;Cat;Z
modern louse;Fox;M
poor trout;Lizard;M
injured rabbit;Lizard;Z
impressed lobster;Parrot;M
rapid goose;Bear;Z
husky limpet;Dog;M
surprising yak;Cat;M
top donkey;Horse;Z
light halibut;Dog;Z
afraid canid;Parrot;M
adverse boar;Cat;M
low roundworm;Parrot;Z
sweet cockroach;Bear;Z
select scallop;Lion;Z
alright damselfly;Horse;M
pretty turtle;Bear;Z
bitter moth;Donkey;M
inland catshark;Bear;Z
content barracuda;Cat;Z
popular pig;Donkey;Z
profitable amphibian;Lion;Z
diplomatic bobcat;Donkey;Z
able bee;Lion;M
black yak;Lion;M
welcome pony;Fox;M
quiet aphid;Horse;Z
unfortunate frog;Tiger;M
modern stoat;Parrot;M
loyal catfish;Parrot;M
advanced gull;Lion;Z
desirable lemur;Fox;Z
conventional elephant;Fox;M
fantastic chickadee;Lizard;Z
medical bass;Cat;M
significant mongoose;Horse;Z
liberal anteater;Dog;M
symbolic cattle;Tiger;Z
black rabbit;Bear;M
limited urial;Horse;M
fair mockingbird;Horse;Z
outrageous crab;Donkey;Z
strong guineafowl;Dog;M
narrow bird;Donkey;M
tame crab;Fox;M
modest dog;Cat;M
constitutional cat;Lizard;M
zealous puma;Lion;Z
objective giraffe;Lion;M
digital bedbug;Horse;Z
soft octopus;Cat;M
urgent cattle;Cat;M
feminist giraffe;Lizard;M
mere cobra;Fox;M
inc turtle;Parrot;M
entitled crayfish;Lion;M
feminist boar;Bear;M
desperate hoverfly;Bear;M
conceptual donkey;Lizard;M
chronic cat;Lion;Z
precious warbler;Horse;M
impossible halibut;Fox;M
aware dragonfly;Lizard;Z
rational bovid;Fox;Z
complete lobster;Cat;M
missing leopard;Cat;M
cruel fish;Parrot;Z
immediate rooster;Fox;Z
moaning nightingale;Donkey;Z
glad snake;Donkey;Z
Sound skunk;Tiger;M
skilled baboon;Fox;M
modest penguin;Bear;M
light tiger;Tiger;M
ideal cat;Cat;M
worthwhile boa;Lizard;M
regulatory giraffe;Horse;Z
gross quokka;Fox;M
bright magpie;Lizard;M
bad bison;Dog;M
disappointed cheetah;Cat;Z
architectural marmoset;Dog;Z
square chipmunk;Bear;M
subsequent hoverfly;Fox;Z
uniform rattlesnake;Cat;Z
kind guanaco;Tiger;M
miserable sailfish;Horse;M
prickly swan;Tiger;M
raw eagle;Bear;M
relative donkey;Bear;Z
single cattle;Cat;M
alive gecko;Dog;M
back bobolink;Horse;Z
colossal gecko;Horse;M
digital bear;Horse;Z
vivacious flyingfish;Donkey;Z
faithful hedgehog;Donkey;M
mechanical emu;Cat;Z
repulsive ptarmigan;Donkey;Z
parallel dolphin;Fox;Z
sharp finch;Cat;M
linear snipe;Dog;Z
sheer gull;Lion;M
formal chickadee;Fox;M
frightened limpet;Bear;M
brief duck;Cat;M
massive pigeon;Parrot;Z
beautiful spider;Cat;Z
dreadful takin;Horse;M
fellow firefly;Donkey;M
testy emu;Fox;Z
conscious boa;Lion;M
structural haddock;Dog;Z
massive barnacle;Cat;Z
environmental aardvark;Bear;Z
open tiglon;Dog;M
spotless earwig;Donkey;M
crazy toucan;Horse;Z
slim rat;Tiger;M
filthy dog;Cat;M
fierce jay;Fox;M
experienced marten;Parrot;Z
key cougar;Donkey;M
welcome chicken;Bear;Z
western tern;Cat;M
innocent junglefowl;Donkey;M
excited heron;Fox;Z
awful sawfish;Lizard;M
foreign mole;Fox;M
widespread tyrannosaurus;Horse;M
marginal rodent;Dog;M
scary orangutan;Parrot;M
foreign chinchilla;Tiger;M
philosophical dog;Horse;M
defiant marsupial;Tiger;Z
ridiculous guan;Fox;Z
outer urial;Bear;Z
senior elk;Donkey;M
chosen llama;Lion;Z
ltd scorpion;Fox;Z
deep anglerfish;Cat;Z
key warbler;Tiger;M
net galliform;Cat;M
ordinary bear;Lizard;Z
gentle worm;Bear;Z
tense kangaroo;Parrot;Z
relaxed smelt;Cat;M
urgent puma;Dog;M
strange tortoise;Donkey;Z
huge piranha;Tiger;Z
difficult wolverine;Lizard;Z
ethnic aphid;Parrot;M
wet termite;Parrot;M
petite lamprey;Cat;Z
magnificent koi;Lion;M
victorious swordfish;Dog;Z
aggregate tiglon;Tiger;M
superior bee;Lizard;Z
dependent snake;Parrot;M
magenta galliform;Tiger;M
scornful locust;Fox;Z
added hawk;Donkey;M
miserable impala;Tiger;Z
ripe mammal;Horse;M
fundamental antlion;Cat;Z
sour aardvark;Lion;M
recent sawfish;Donkey;M
satisfied pony;Parrot;Z
thin leopon;Fox;M
gigantic parrotfish;Lizard;Z
proper alpaca;Dog;Z
beautiful centipede;Lizard;Z
smooth ptarmigan;Tiger;M
neighbouring tarsier;Lizard;M
historical coyote;Tiger;Z
precious magpie;Cat;M
thirsty weasel;Lion;Z
architectural anaconda;Bear;M
welsh rat;Fox;M
outside otter;Donkey;Z
witty walrus;Bear;Z
voiceless booby;Cat;Z
tame snipe;Bear;Z
loose dove;Horse;M
empty tiger;Tiger;M
socialist cod;Lion;Z
spare cougar;Tiger;Z
large toad;Lion;Z
bright lungfish;Lizard;Z
head monkey;Dog;M
uncomfortable mink;Tiger;Z
immediate urial;Parrot;M
married gorilla;Bear;Z
exceptional lungfish;Bear;M
vital mole;Donkey;Z
resident horse;Donkey;M
following cockroach;Lion;Z
rough tiger;Lion;M
tall chicken;Horse;M
useful porcupine;Parrot;Z
deep duck;Lizard;Z
cool tuna;Parrot;Z
soviet damselfly;Parrot;Z
universal giraffe;Lion;Z
consistent ptarmigan;Bear;Z
pregnant sole;Donkey;Z
allied dog;Parrot;Z
red sturgeon;Tiger;Z
confident gorilla;Parrot;M
flying horse;Cat;M
average chicken;Cat;Z
historic swift;Horse;M
sufficient narwhal;Fox;M
inland boa;Fox;Z
fiscal blackbird;Lizard;Z
few viper;Horse;Z
repulsive capybara;Donkey;Z
unlikely panther;Lizard;M
nutty cattle;Dog;M
mute lion;Bear;Z
architectural cougar;Bear;Z
anxious blackbird;Tiger;M
brilliant raven;Dog;Z
agreeable aphid;Tiger;Z
conservation macaw;Fox;M
creative sheep;Parrot;Z
economic catshark;Parrot;Z
magic salmon;Horse;M
ugliest junglefowl;Donkey;Z
white mite;Horse;Z
cuddly eagle;Lizard;M
functional hippopotamus;Parrot;Z
tasty hookworm;Tiger;Z
medieval flea;Cat;M
quaint pig;Cat;M
well urial;Lizard;M
fine lemming;Bear;Z
rainy parrot;Lizard;Z
gentle toad;Lizard;M
tart hoverfly;Lizard;Z
exact aphid;Fox;Z
awkward platypus;Horse;M
territorial gull;Fox;Z
tight snail;Lion;M
extended toad;Bear;Z
developed starfish;Donkey;Z
mutual badger;Tiger;Z
rural butterfly;Dog;Z
practical caterpillar;Donkey;Z
remote viper;Lizard;M
smiling prawn;Bear;Z
subsequent perch;Bear;Z
adjacent lamprey;Tiger;M
rude smelt;Tiger;Z
realistic peacock;Lion;Z
pleasant monkey;Parrot;Z
negative sheep;Fox;Z
frightened ox;Horse;M
square puffin;Lion;Z
key emu;Lizard;Z
big urial;Tiger;M
better guanaco;Donkey;Z
impressive cockroach;Cat;M
mental egret;Dog;M
mushy kiwi;Horse;M
helpless aardvark;Donkey;M
comfortable donkey;Parrot;M
appropriate tern;Lizard;Z
solid swordfish;Cat;Z
changing gazelle;Parrot;M
welsh skunk;Cat;Z
alright tahr;Tiger;M
different lark;Lion;Z
smooth jay;Fox;M
cold mammal;Parrot;M
chubby scallop;Dog;Z
kind meadowlark;Tiger;Z
confident clownfish;Dog;M
special gopher;Parrot;Z
delighted flyingfish;Horse;M
purring peafowl;Dog;Z
ugliest termite;Lizard;Z
unsightly bedbug;Lion;M
responsible peacock;Lizard;Z
local puma;Dog;Z
disciplinary tarantula;Lion;Z
optimistic vole;Lion;Z
private canid;Parrot;M
eerie mastodon;Parrot;Z
proud crayfish;Tiger;M
resonant cattle;Lion;Z
disappointed junglefowl;Cat;M
honest anaconda;Cat;Z
meaningful pig;Bear;M
aware crocodile;Fox;Z
sparkling alpaca;Parrot;M
helpful tyrannosaurus;Parrot;M
precious guanaco;Lion;M
afraid jaguar;Dog;Z
registered takin;Cat;M
oral beetle;Lizard;Z
enchanting earthworm;Cat;Z
very tarantula;Cat;M
semantic emu;Lion;M
domestic pony;Lizard;Z
fresh bass;Lizard;Z
unacceptable macaw;Fox;Z
delicate bass;Parrot;M
wee newt;Cat;M
intelligent bobcat;Lion;M
huge yak;Lizard;M
upset cephalopod;Bear;Z
funny ostrich;Tiger;Z
unfair earthworm;Donkey;M
elegant bass;Parrot;Z
technical swift;Lizard;M
profitable whitefish;Bear;Z
relieved harrier;Tiger;Z
autonomous beetle;Horse;M
fair firefly;Fox;Z
causal asp;Lizard;Z
black raven;Donkey;Z
upset raccoon;Bear;Z
dangerous otter;Lizard;Z
early cat;Lion;Z
unusual mouse;Horse;Z
prospective wolverine;Horse;Z
inquisitive earthworm;Horse;Z
continuing armadillo;Bear;M
popular albatross;Tiger;M
moral python;Horse;M
embarrassed landfowl;Bear;M
tiny canid;Parrot;Z
brown squirrel;Tiger;Z
full wombat;Parrot;M
effective chinchilla;Lizard;M
genuine pig;Horse;M
open marmot;Horse;Z
bloody frog;Lizard;Z
elegant flamingo;Fox;M
confused raven;Lion;Z
frantic turtle;Donkey;Z
gigantic opossum;Dog;M
unfortunate koala;Dog;Z
sleepy tarantula;Parrot;M
swift coyote;Donkey;Z
disturbing hoverfly;Donkey;M
dry koala;Fox;M
adjacent planarian;Horse;M
old vicuna;Lion;M
blank jay;Lion;M
representative macaw;Dog;Z
forward beetle;Parrot;Z
foolish sailfish;Cat;Z
intimate newt;Cat;M
strong warbler;Parrot;M
respectable spider;Tiger;M
huge urial;Donkey;Z
smiling marsupial;Tiger;Z
icy damselfly;Fox;Z
sure hawk;Tiger;Z
working llama;Dog;M
extensive sturgeon;Cat;M
ripe elephant;Lizard;Z
faithful pony;Parrot;Z
capable landfowl;Lion;M
marxist kangaroo;Donkey;M
sleepy dingo;Bear;Z
evil guppy;Horse;Z
rival crab;Lion;Z
tender smelt;Parrot;Z
fond sheep;Donkey;Z
alternative rabbit;Dog;M
wandering canid;Horse;M
illegal chicken;Lion;Z
above yak;Tiger;Z
mysterious firefly;Bear;M
scattered nightingale;Bear;M
cooing leopon;Dog;Z
distinguished partridge;Bear;M
willing louse;Bear;M
comprehensive wombat;Parrot;M
ready galliform;Lizard;M
exact flyingfish;Lizard;Z
quick dragon;Lion;Z
eager haddock;Fox;Z
silly crocodile;Tiger;M
marvellous roadrunner;Tiger;M
appropriate jaguar;Parrot;M
steady pony;Parrot;Z
wooden donkey;Lion;M
comfortable fly;Bear;Z
embarrassed fish;Lizard;Z
nutty puffin;Parrot;Z
stale guppy;Parrot;Z
pure cat;Horse;Z
manual rhinoceros;Parrot;Z
spontaneous herring;Lion;M
geographical dolphin;Cat;M
comfortable chimpanzee;Tiger;M
superior moose;Lizard;Z
olympic barracuda;Dog;M
stupid lamprey;Horse;M
huge asp;Horse;M
glorious peacock;Dog;Z
adjacent tortoise;Dog;Z
tired elk;Parrot;M
reluctant salmon;Cat;Z
mixed bat;Fox;M
weekly dinosaur;Parrot;M
flexible termite;Tiger;M
atomic tarsier;Dog;Z
mean carp;Dog;Z
just swan;Horse;Z
changing cat;Lion;Z
sound mosquito;Parrot;M
purple flea;Horse;M
distinct magpie;Horse;M
rich sturgeon;Parrot;M
thin meadowlark;Dog;M
independent platypus;Parrot;Z
subtle manatee;Tiger;Z
nervous jay;Lion;M
overall guan;Lion;M
rear crane;Bear;M
superior cuckoo;Fox;M
growing guineafowl;Horse;Z
stiff scallop;Lizard;Z
loud narwhal;Cat;M
fierce earthworm;Donkey;M
unsightly snail;Lizard;M
confused marmoset;Lion;Z
subsequent ant;Fox;M
bad koi;Tiger;M
special chinchilla;Fox;M
average pigeon;Fox;M
following catfish;Donkey;Z
christian krill;Fox;Z
obvious narwhal;Dog;M
silly rat;Horse;Z
mass toad;Bear;M
various marmot;Bear;M
nice beetle;Horse;M
embarrassed earwig;Parrot;Z
greek prawn;Lizard;Z
medical mastodon;Cat;Z
technical anaconda;Bear;M
tough landfowl;Tiger;Z
communist mosquito;Donkey;Z
wicked lynx;Horse;M
square marmoset;Cat;M
bold beaver;Parrot;M
decisive lobster;Parrot;Z
olympic sawfish;Fox;Z
frequent piranha;Dog;Z
aggressive panther;Dog;M
visual mockingbird;Cat;M
confused hornet;Tiger;Z
difficult toucan;Tiger;M
colossal pheasant;Donkey;Z
stuck rat;Horse;Z
prospective cattle;Lizard;Z
fierce panda;Parrot;Z
related kingfisher;Lizard;Z
clinical haddock;Bear;M
smoggy caterpillar;Parrot;M
splendid coyote;Tiger;Z
roasted octopus;Parrot;M
many guppy;Fox;M
vivacious deer;Donkey;Z
sweet prawn;Fox;M
molecular puma;Lion;Z
inherent planarian;Bear;M
comparative grasshopper;Cat;Z
harsh turtle;Bear;Z
wee armadillo;Fox;Z
light catfish;Cat;M
continuous bobolink;Dog;M
diverse boa;Lizard;Z
required octopus;Bear;M
sweet hare;Dog;Z
identical goldfish;Tiger;Z
purple ant;Fox;Z
military panther;Fox;M
blonde pig;Fox;Z
cooing jay;Lizard;M
huge bedbug;Donkey;M
favourite weasel;Parrot;M
sensitive sawfish;Horse;Z
remaining skink;Tiger;Z
robust takin;Fox;Z
costly wren;Cat;M
grand dormouse;Cat;M
bored antelope;Cat;Z
numerous goat;Lion;M
desperate bonobo;Fox;Z
tragic tiger;Fox;M
conventional ant;Bear;M
hurt flamingo;Dog;Z
unknown whale;Fox;M
willing mammal;Lizard;M
beautiful puma;Dog;Z
lonely rattlesnake;Bear;M
scientific porpoise;Tiger;Z
private earwig;Donkey;M
many sparrow;Cat;M
safe dove;Horse;Z
minor moth;Tiger;M
excited baboon;Cat;Z
desirable cobra;Fox;Z
eager porcupine;Lion;M
fiscal wildfowl;Tiger;Z
soft rodent;Tiger;Z
unsightly tahr;Dog;M
literary firefly;Cat;Z
round jay;Donkey;M
select booby;Cat;M
logical antelope;Bear;M
successive whale;Lion;M
increasing marmot;Lizard;Z
efficient crane;Parrot;M
difficult sheep;Cat;Z
mute owl;Horse;Z
cultural mockingbird;Bear;M
available shark;Lion;Z
following whippet;Fox;M
fantastic walrus;Lizard;Z
worldwide moose;Fox;Z
nervous giraffe;Bear;Z
powerful walrus;Lion;M
fine hare;Parrot;Z
neat badger;Fox;Z
bloody junglefowl;Parrot;M
swiss goat;Bear;Z
elderly bird;Lizard;M
charming moth;Parrot;M
preliminary krill;Lizard;Z
faint parrot;Fox;M
elaborate goat;Lizard;M
evil kiwi;Fox;M
cool cardinal;Lizard;Z
lengthy rook;Fox;Z
frozen trout;Dog;M
unaware swallow;Dog;M
successive sloth;Horse;M
broad lemming;Tiger;Z
lovely orangutan;Horse;Z
indirect yak;Fox;M
puny crow;Parrot;M
philosophical ocelot;Fox;M
real duck;Fox;M
inclined bass;Cat;Z
wrong rook;Fox;M
mute felidae;Dog;M
fast ox;Lion;M
level antelope;Lion;Z
worrying octopus;Lizard;M
serious pinniped;Lion;Z
depressed guan;Bear;M
asleep cricket;Cat;M
established echidna;Dog;Z
blue moth;Fox;M
equivalent frog;Bear;Z
able snail;Cat;Z
absent krill;Horse;Z
moaning newt;Bear;M
weary silverfish;Dog;M
joint aardvark;Lizard;M
bright herring;Cat;Z
territorial yak;Tiger;Z
sophisticated herring;Tiger;Z
relieved macaw;Tiger;M
remaining thrush;Dog;Z
misty roadrunner;Lion;M
surviving barracuda;Donkey;M
yellow wombat;Lion;M
subjective sole;Lizard;M
respectable chameleon;Parrot;M
immense hummingbird;Dog;M
blue tortoise;Donkey;M
scattered elephant;Tiger;M
tropical whippet;Fox;Z
dead snail;Fox;M
political pig;Bear;M
architectural canidae;Donkey;Z
dull hoverfly;Cat;M
weekly parrot;Lion;Z
random spoonbill;Bear;M
visiting kiwi;Tiger;M
careful mastodon;Fox;M
keen mouse;Lizard;Z
creative walrus;Parrot;Z
bumpy minnow;Donkey;M
broken chickadee;Bear;M
outstanding tyrannosaurus;Tiger;Z
quaint pig;Donkey;Z
resulting hawk;Fox;Z
short goat;Donkey;M
tender sturgeon;Lion;M
rapid anaconda;Bear;Z
racial hippopotamus;Bear;M
developing python;Bear;Z
quiet grouse;Horse;Z
mobile horse;Bear;M
magic whale;Donkey;Z
okay piranha;Lion;Z
international reindeer;Fox;M
crazy gibbon;Horse;M
subjective wildebeest;Cat;Z
traditional leopard;Tiger;Z
vulnerable bonobo;Donkey;M
increasing thrush;Tiger;M
red cod;Bear;Z
proposed wombat;Lion;Z
ancient amphibian;Donkey;M
new whippet;Cat;M
economic walrus;Cat;M
eager turkey;Bear;Z
surprised sawfish;Donkey;Z
great lamprey;Donkey;Z
dominant tyrannosaurus;Cat;Z
tasteless turtle;Dog;Z
small leopon;Lion;Z
rising armadillo;Donkey;M
tame magpie;Donkey;Z
sharp caribou;Parrot;M
better quokka;Dog;Z
roman muskox;Fox;Z
inc toad;Dog;Z
marvellous bear;Lion;Z
flying toucan;Cat;M
famous bobolink;Dog;Z
extra koi;Tiger;Z
light condor;Horse;M
electric termite;Horse;Z
bad frog;Tiger;M
artificial guan;Cat;Z
double walrus;Bear;Z
friendly felidae;Donkey;Z
preferred magpie;Fox;Z
inland wasp;Horse;M
doubtful dragonfly;Dog;M
pregnant anaconda;Lizard;Z
hungry crow;Horse;M
distinctive toucan;Horse;M
convincing manatee;Cat;M
inner muskox;Bear;M
organisational lizard;Bear;Z
quiet bovid;Horse;M
fluffy cat;Lion;M
tricky narwhal;Tiger;Z
reduced catshark;Parrot;M
historic frog;Tiger;Z
coherent pike;Donkey;Z
innocent crocodile;Dog;Z
abstract frog;Fox;Z
sexual spoonbill;Bear;M
standard cattle;Dog;M
magnificent yak;Fox;Z
unfair parrot;Lizard;Z
residential bee;Cat;M
unconscious skunk;Parrot;Z
many quokka;Cat;M
casual alpaca;Lion;Z
bloody skink;Tiger;Z
large firefly;Donkey;Z
compact snipe;Lion;Z
dry moth;Dog;M
moaning capybara;Donkey;Z
well roadrunner;Fox;Z
new thrush;Donkey;M
illegal nightingale;Fox;M
silly finch;Cat;M
comfortable mandrill;Dog;Z
low crab;Horse;Z
graceful roundworm;Bear;Z
systematic jackal;Lion;M
scornful moth;Bear;M
spicy lemur;Cat;M
pregnant mollusk;Donkey;Z
fluffy shrimp;Cat;M
theoretical bison;Tiger;Z
impressed sparrow;Cat;Z
military parrot;Cat;M
homeless wren;Cat;Z
clumsy parakeet;Horse;M
growing dragonfly;Dog;M
decent reindeer;Fox;Z
narrow lemur;Horse;Z
neat marmot;Tiger;Z
big fish;Fox;M
radical krill;Lion;Z
blonde rhinoceros;Lizard;M
wrong cephalopod;Fox;M
hissing koi;Parrot;Z
complete tarsier;Lizard;M
noisy raven;Fox;M
weak alligator;Lizard;M
leading koala;Horse;Z
tame cattle;Cat;Z
ashamed rabbit;Bear;M
rising quail;Dog;M
improved badger;Fox;Z
mammoth warbler;Tiger;M
ill mosquito;Bear;Z
melodic koi;Lion;M
greasy lemming;Cat;Z
inland locust;Tiger;Z
dead skink;Donkey;M
cruel wombat;Cat;Z
obedient roadrunner;Parrot;Z
notable rattlesnake;Fox;M
established rat;Bear;M
preliminary marmoset;Lion;Z
automatic fox;Bear;Z
unacceptable salamander;Lizard;M
neutral toucan;Horse;Z
obliged wallaby;Dog;Z
welsh slug;Parrot;M
crucial hookworm;Lizard;Z
genetic eagle;Bear;M
philosophical partridge;Horse;Z
maximum toad;Dog;Z
complicated gibbon;Lion;Z
orthodox wolf;Bear;Z
high tahr;Lizard;Z
miserable iguana;Dog;M
fond crane;Parrot;M
above mule;Cat;M
greasy dog;Lizard;Z
electronic silverfish;Lion;M
obliged spider;Horse;Z
interesting scallop;Horse;M
fun grasshopper;Lion;M
slimy xerinae;Lizard;M
fine weasel;Dog;Z
grey asp;Tiger;M
naked emu;Lion;M
special guineafowl;Bear;M
poised cicada;Fox;Z
fashionable squid;Horse;M
rural possum;Dog;Z
ordinary canid;Horse;Z
illegal puffin;Bear;Z
rainy elephant;Lion;Z
embarrassed cattle;Parrot;M
horrible hookworm;Cat;Z
typical scorpion;Donkey;Z
kind pony;Fox;Z
condemned gecko;Fox;M
repulsive armadillo;Tiger;Z
bright planarian;Dog;M
delicate cattle;Lizard;M
magic grouse;Bear;Z
wandering mackerel;Parrot;M
closed alligator;Horse;Z
healthy gull;Bear;Z
religious skink;Dog;Z
panicky dog;Cat;Z
financial hare;Lizard;Z
labour sloth;Bear;M
round anteater;Bear;M
deliberate sturgeon;Dog;M
distinguished cougar;Horse;Z
fast octopus;Lion;Z
dirty dog;Parrot;Z
scornful goldfish;Bear;M
unable termite;Cat;M
tough piranha;Cat;Z
gleaming goat;Tiger;Z
preliminary chameleon;Parrot;M
worried quail;Donkey;Z
scornful bovid;Cat;Z
jealous horse;Cat;M
interior mockingbird;Bear;M
cute hawk;Tiger;Z
regional vicuna;Horse;M
lonely cuckoo;Donkey;M
kind chipmunk;Tiger;M
quiet ant;Parrot;Z
genuine nightingale;Horse;M
fast manatee;Lion;M
identical koi;Bear;M
tasty guppy;Bear;M
glamorous cattle;Lizard;M
miserable ermine;Lizard;M
alert mollusk;Donkey;Z
delightful guan;Bear;Z
super cow;Cat;Z
odd wren;Horse;M
sick chameleon;Cat;M
objective eagle;Lion;M
human bear;Lizard;Z
uncertain goose;Parrot;Z
far mouse;Donkey;M
different puma;Donkey;Z
friendly tern;Lion;M
great moose;Lizard;M
dear horse;Cat;M
cold gayal;Parrot;Z
stupid buzzard;Lizard;Z
stupid bug;Bear;M
sacred trout;Cat;M
minor cockroach;Parrot;M
numerous vulture;Parrot;M
pregnant tuna;Bear;Z
angry butterfly;Donkey;M
dirty chameleon;Bear;M
present marlin;Cat;Z
living butterfly;Lizard;Z
crucial koala;Tiger;M
dizzy cricket;Fox;M
moaning nightingale;Cat;Z
rural cattle;Parrot;M
bumpy bat;Lizard;M
unemployed gazelle;Dog;Z
thin guppy;Bear;Z
dark firefly;Fox;M
psychiatric crab;Parrot;Z
near peafowl;Fox;Z
intimate donkey;Cat;M
poised finch;Tiger;M
lexical crayfish;Dog;M
disciplinary chameleon;Cat;M
enormous tortoise;Donkey;Z
gastric pinniped;Parrot;M
severe swordtail;Donkey;Z
cautious donkey;Dog;Z
various stingray;Dog;Z
